realm_levy_diminishing_1;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_1_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_2;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_2_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_3;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_3_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_4;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_4_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_5;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_5_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_6;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_6_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_7;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_7_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_8;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_8_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_9;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_9_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_10;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_10_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_11;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_11_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_12;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_12_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_13;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_13_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_14;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_14_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_15;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_15_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_16;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_16_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_17;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_17_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_18;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_18_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_19;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_19_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_20;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_20_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_21;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_21_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_22;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_22_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_23;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_23_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_24;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_24_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_25;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_25_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_26;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_26_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_27;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_27_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_28;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_28_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_29;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_29_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_30;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_30_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_31;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
realm_levy_diminishing_31_desc;Our realm is so large that the efficiency of levy mobilization is somewhat reduced.;Notre domaine est si vaste que l'efficacité de la mobilisation des prélèvements est quelque peu réduite.;Unser Reich ist so groß, dass die Effizienz der Abgabenmobilisierung etwas eingeschränkt ist.;;Nuestro ámbito es tan grande que la eficiencia de la movilización de impuestos se reduce un poco.;;;;;;;;;x
realm_levy_diminishing_32;Vast Realm;Vaste royaume;Weites Reich;;Reino vasto;;;;;;;;;x
